nid,subject,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score,Academic Reputation_rank,Employer Reputation_rank,Citations per Paper_rank,H-index Citations_rank,International Research Network_rank
3846269,modern-languages,National Cheng Kung University (NCKU),162,-,66.2,66.3,-,-,-,101+,101+,-,-,-
3846269,modern-languages,National Tsing Hua University,163,-,69.4,65.3,-,-,-,101+,101+,-,-,-
3846269,modern-languages,National Sun Yat-sen University,264,-,61.5,61.3,-,-,-,101+,101+,-,-,-
3870666,nursing,Taipei Medical University (TMU),38,82.9,78.8,97,89.6,75.6,75.6,25,4,51+,51+,51+
3870666,nursing,National Taipei University of Nursing and Health Sciences,62,-,64.1,66.1,87.5,76.3,76.3,51+,51+,51+,51+,51+
3870666,nursing,National Taiwan University (NTU),63,-,70.6,81,86.5,74.3,74.3,51+,34,51+,51+,51+
3870666,nursing,Chang Gung University,104,-,55.5,66.3,88,74.3,74.3,51+,51+,51+,51+,51+
3870666,nursing,National Yang Ming Chiao Tung University,116,-,48.2,78.3,91.7,75,75,51+,47,51+,51+,51+
3870666,nursing,Kaohsiung Medical University,156,-,59.6,69.9,83.7,69.9,69.9,51+,51+,51+,51+,51+
3846265,performing-arts,National Taiwan University (NTU),103,-,57.8,67.1,-,-,-,51+,51+,-,-,-
3846263,pharmacy-pharmacology,National Taiwan University (NTU),92,73.2,68.2,75.5,88.7,82.4,82.4,78,50,101+,101+,101+
3846263,pharmacy-pharmacology,China Medical University ,157,-,62.9,58.4,84.5,80.8,80.8,101+,101+,101+,101+,101+
3846263,pharmacy-pharmacology,Taipei Medical University (TMU),170,-,60.3,68.1,87.3,82.6,82.6,101+,101+,101+,101+,101+
3846263,pharmacy-pharmacology,Kaohsiung Medical University,217,-,55.6,57.9,84.8,79.3,79.3,101+,101+,101+,101+,101+
3846263,pharmacy-pharmacology,National Cheng Kung University (NCKU),269,-,54.5,67.3,83.8,75.4,75.4,101+,101+,101+,101+,101+
3846261,philosophy,National Taiwan University (NTU),165,-,65,72.1,41.8,34.1,34.1,51+,51+,51+,51+,51+
3846260,physics-astronomy,National Taiwan University (NTU),83,76,74.8,75.9,84.9,80.8,80.8,65,66,151+,138,138
3846260,physics-astronomy,National Tsing Hua University,99,74.6,72.5,75.3,85.5,78.1,78.1,86,70,151+,151+,151+
3846260,physics-astronomy,National Yang Ming Chiao Tung University,218,-,63.6,71.4,74.9,63.9,63.9,151+,109,151+,151+,151+
3846260,physics-astronomy,National Central University,265,-,59.2,61,81.5,71.5,71.5,151+,151+,151+,151+,151+
3846260,physics-astronomy,National Cheng Kung University (NCKU),266,-,60.5,66,83.1,68.6,68.6,151+,151+,151+,151+,151+
3846260,physics-astronomy,National Sun Yat-sen University,411,-,56,61.2,74.2,52.7,52.7,151+,151+,151+,151+,151+
3846260,physics-astronomy,National Taiwan Normal University,471,-,59.6,56.6,65.7,52,52,151+,151+,151+,151+,151+
3846260,physics-astronomy,National Taiwan University of Science and Technology (Taiwan Tech),472,-,57.3,60.8,68.5,46.8,46.8,151+,151+,151+,151+,151+
3846260,physics-astronomy,National Taipei University of Technology,523,-,52,59.3,68.6,50.1,50.1,151+,151+,151+,151+,151+
3870667,politics,National Chengchi University,114,-,73.9,63.9,62.6,59.8,59.8,45,51+,51+,51+,51+
3870667,politics,National Taiwan University (NTU),115,-,69.4,74.2,56.1,53.7,53.7,51+,51+,51+,51+,51+
3846257,psychology,National Taiwan University (NTU),110,-,69.5,72.9,76.1,75,75,91,73,101+,101+,101+
3846257,psychology,National Cheng Kung University (NCKU),312,-,56,62.8,60,66,66,101+,101+,101+,101+,101+
3846256,social-policy-administration,National Taiwan University (NTU),46,77.8,80.5,77,60.9,-,-,49,44,51+,-,-
3846255,sociology,National Taiwan University (NTU),56,75.3,77.6,74.6,76.9,64.8,64.8,43,70,101+,101+,101+
3846255,sociology,National Cheng Kung University (NCKU),216,-,61.8,67.6,57.8,58.4,58.4,101+,101+,101+,101+,101+
3846255,sociology,National Chengchi University,217,-,61.8,65.3,59.7,52.5,52.5,101+,101+,101+,101+,101+
3846255,sociology,National Taiwan Normal University,218,-,61.8,64,58.7,49.7,49.7,101+,101+,101+,101+,101+
3846255,sociology,National Chung Cheng University,265,-,62.1,64.4,44,38.5,38.5,101+,101+,101+,101+,101+
3846255,sociology,National Taipei University,266,-,63.7,54.4,53.9,42.8,42.8,101+,101+,101+,101+,101+
3846255,sociology,National Tsing Hua University,267,-,61.7,70.4,45,38.5,38.5,101+,101+,101+,101+,101+
3846255,sociology,National Yang Ming Chiao Tung University,268,-,60.7,67.5,43.8,38.5,38.5,101+,101+,101+,101+,101+
3846254,sports-related-subjects,National Taiwan Normal University,65,-,69.6,77.1,84.8,58.5,58.5,51+,39,51+,51+,51+
3846254,sports-related-subjects,National Taiwan University (NTU),66,-,70.6,72.9,88.1,75.4,75.4,51+,51+,51+,51+,51+
3846253,statistics-operational-research,National Tsing Hua University,66,-,67.1,71.6,98.5,65.2,65.2,51+,51+,2,51+,51+
3846253,statistics-operational-research,National Cheng Kung University (NCKU),119,-,61.7,67.9,98.4,59.8,59.8,51+,51+,3,51+,51+
3846253,statistics-operational-research,National Yang Ming Chiao Tung University,211,-,59.4,68.5,67.9,64,64,51+,51+,51+,51+,51+
