nid,subject,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score,Academic Reputation_rank,Employer Reputation_rank,Citations per Paper_rank,H-index Citations_rank,International Research Network_rank
3846224,anthropology,National Taiwan University (NTU),64,-,75.2,74.8,45.2,37,37,51+,51+,51+,51+,51+
3846226,architecture-built-environment,National Cheng Kung University (NCKU),116,-,57.6,69.4,92.2,75.4,75.4,51+,51+,46,51+,51+
3846226,architecture-built-environment,National Taipei University of Technology,117,-,59.3,70.5,80.8,68.4,68.4,51+,51+,51+,51+,51+
3846226,architecture-built-environment,National Taiwan University of Science and Technology (Taiwan Tech),169,-,55.2,59.3,80.8,60.9,60.9,51+,51+,51+,51+,51+
3846227,art-design,National Cheng Kung University (NCKU),73,-,59.2,65.5,-,-,-,51+,51+,-,-,-
3846227,art-design,National Taiwan University (NTU),119,-,54.9,73.9,-,-,-,51+,51+,-,-,-
3846227,art-design,National Taiwan University of Science and Technology (Taiwan Tech),176,-,51.7,58.2,-,-,-,51+,51+,-,-,-
3846227,art-design,Shih Chien University,183,-,54.9,38.6,-,-,-,51+,51+,-,-,-
3846227,art-design,National Taiwan Normal University,215,-,49.8,54.7,-,-,-,51+,51+,-,-,-
3846228,biological-sciences,National Taiwan University (NTU),103,72,72.6,76.4,81.2,74.6,74.6,69,56,151+,151+,151+
3846228,biological-sciences,National Tsing Hua University,216,-,64.8,71.8,77.5,65.7,65.7,148,104,151+,151+,151+
3846228,biological-sciences,National Cheng Kung University (NCKU),268,-,62.3,68,76.6,65.9,65.9,151+,151+,151+,151+,151+
3846228,biological-sciences,National Yang Ming Chiao Tung University,269,-,58,67.5,77.8,69.6,69.6,151+,151+,151+,151+,151+
3846228,biological-sciences,China Medical University ,303,-,50.3,57.5,79.1,71.4,71.4,151+,151+,151+,151+,151+
3846228,biological-sciences,National Chung Hsing University,371,-,58.6,61.8,70.9,61.1,61.1,151+,151+,151+,151+,151+
3846228,biological-sciences,Taipei Medical University (TMU),379,-,50.8,68.1,75.3,65.6,65.6,151+,151+,151+,151+,151+
3846228,biological-sciences,Kaohsiung Medical University,463,-,46.8,56,75.6,63.1,63.1,151+,151+,151+,151+,151+
