year,subject
2021,arts-humanities
2021,engineering-technology
2021,life-sciences-medicine
2021,natural-sciences
2021,social-sciences-management
2021,accounting-finance
2021,agriculture-forestry
2021,anatomy-physiology
2021,anthropology
2021,archaeology
2021,architecture-built-environment
2021,art-design
2021,biological-sciences
2021,business-management-studies
2021,chemistry
2021,classics-ancient-history
2021,communication-media-studies
2021,computer-science-information-systems
2021,dentistry
2021,development-studies
2021,earth-marine-sciences
2021,economics-econometrics
2021,education-training
2021,engineering-chemical
2021,engineering-civil-structural
2021,engineering-electrical-electronic
2021,engineering-mechanical
2021,engineering-mineral-mining
2021,engineering-petroleum
2021,english-language-literature
2021,environmental-sciences
2021,geography
2021,geology
2021,geophysics
2021,history
2021,hospitality-leisure-management
2021,law-legal-studies
2021,library-information-management
2021,linguistics
2021,materials-sciences
2021,mathematics
2021,medicine
2021,modern-languages
2021,nursing
2021,performing-arts
2021,pharmacy-pharmacology
2021,philosophy
2021,physics-astronomy
2021,politics
2021,psychology
2021,social-policy-administration
2021,sociology
2021,sports-related-subjects
2021,statistics-operational-research
2021,theology-divinity-religious-studies
2021,veterinary-science
