year,subject_nid,subject,university_nid,country,university,rank,overall_score,H-index Citations_score,Citations per Paper_score,Academic Reputation_score,Employer Reputation_score
2020,2005415,arts-humanities,294804,Taiwan,National Taiwan University (NTU),81,76.9,34.6,79.5,83.8,76.1
2020,2005415,arts-humanities,294806,Taiwan,National Taiwan Normal University,222,68,21.8,78.1,76,62.2
2020,2005415,arts-humanities,294811,Taiwan,National Chengchi University,263,66.3,21.8,69.4,72.8,67.6
2020,2005415,arts-humanities,294800,Taiwan,National Tsing Hua University,268,66.2,21.8,64.1,71.9,72.4
2020,2005415,arts-humanities,294814,Taiwan,National Cheng Kung University (NCKU),294,65.1,21.8,71.3,69.6,70.3
2020,2005415,arts-humanities,294810,Taiwan,National Chiao Tung University,363,62.5,21.8,74.8,64.8,69.7
2020,2005415,arts-humanities,294807,Taiwan,National Sun Yat-sen University,414,n/a,n/a,73,67.2,62
2020,2005415,arts-humanities,294816,Taiwan,National Central University,476,n/a,21.8,70.2,62.8,58.2
2020,2005415,arts-humanities,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),477,n/a,21.8,67.1,60.4,65.5
2020,2005416,engineering-technology,294804,Taiwan,National Taiwan University (NTU),41,82,83.5,84.5,82.6,79.3
2020,2005416,engineering-technology,294800,Taiwan,National Tsing Hua University,84,78.2,79.4,85.9,76.6,75.8
2020,2005416,engineering-technology,294810,Taiwan,National Chiao Tung University,124,74.5,75.4,79.7,72.4,74.3
2020,2005416,engineering-technology,294814,Taiwan,National Cheng Kung University (NCKU),146,73.2,72.7,80.3,71.4,72.2
2020,2005416,engineering-technology,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),154,72.7,72.7,83.2,73,67.2
2020,2005416,engineering-technology,294963,Taiwan,National Taipei University of Technology,235,68.8,66.4,79.2,69.8,63.5
2020,2005416,engineering-technology,294816,Taiwan,National Central University,302,65.6,66.4,77.9,63.6,61.7
2020,2005416,engineering-technology,294807,Taiwan,National Sun Yat-sen University,337,64.6,62.6,79,62.1,61.7
2020,2005416,engineering-technology,294808,Taiwan,National Chung Hsing University,421,n/a,62.6,79.3,58.6,56.2
2020,2005417,life-sciences-medicine,294804,Taiwan,National Taiwan University (NTU),80,76.9,68.2,77.7,80.7,81.5
2020,2005417,life-sciences-medicine,294795,Taiwan,National Yang Ming University,181,68.7,58,77,69.8,70.4
2020,2005417,life-sciences-medicine,295098,Taiwan,Taipei Medical University (TMU),212,67.1,50.8,69.8,73.5,75.3
2020,2005417,life-sciences-medicine,293781,Taiwan,China Medical University ,275,64.2,57.5,75.6,65.7,46.5
2020,2005417,life-sciences-medicine,294814,Taiwan,National Cheng Kung University (NCKU),286,63.3,48.1,66.8,68.5,71.3
