year,subject_nid,subject,university_nid,country,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score
2023,3870666,nursing,295787,Taiwan,Kaohsiung Medical University,156,n/a,59.6,69.9,83.7,69.9,
2023,3846265,performing-arts,294804,Taiwan,National Taiwan University (NTU),103,n/a,57.8,67.1,n/a,n/a,
2023,3846263,pharmacy-pharmacology,294804,Taiwan,National Taiwan University (NTU),92,73.2,68.2,75.5,88.7,82.4,41.8
2023,3846263,pharmacy-pharmacology,293781,Taiwan,China Medical University ,157,n/a,62.9,58.4,84.5,80.8,38
2023,3846263,pharmacy-pharmacology,295098,Taiwan,Taipei Medical University (TMU),170,n/a,60.3,68.1,87.3,82.6,26.6
2023,3846263,pharmacy-pharmacology,295787,Taiwan,Kaohsiung Medical University,217,n/a,55.6,57.9,84.8,79.3,32.4
2023,3846263,pharmacy-pharmacology,294814,Taiwan,National Cheng Kung University (NCKU),269,n/a,54.5,67.3,83.8,75.4,19.2
2023,3846261,philosophy,294804,Taiwan,National Taiwan University (NTU),165,n/a,65,72.1,41.8,34.1,
2023,3846260,physics-astronomy,294804,Taiwan,National Taiwan University (NTU),83,76,74.8,75.9,84.9,80.8,60.1
2023,3846260,physics-astronomy,294800,Taiwan,National Tsing Hua University,99,74.6,72.5,75.3,85.5,78.1,60.4
2023,3846260,physics-astronomy,3740459,Taiwan,National Yang Ming Chiao Tung University,218,n/a,63.6,71.4,74.9,63.9,51.4
2023,3846260,physics-astronomy,294816,Taiwan,National Central University,265,n/a,59.2,61,81.5,71.5,57
2023,3846260,physics-astronomy,294814,Taiwan,National Cheng Kung University (NCKU),266,n/a,60.5,66,83.1,68.6,49.6
2023,3846260,physics-astronomy,294807,Taiwan,National Sun Yat-sen University,411,n/a,56,61.2,74.2,52.7,47.5
2023,3846260,physics-astronomy,294806,Taiwan,National Taiwan Normal University,471,n/a,59.6,56.6,65.7,52,33.7
2023,3846260,physics-astronomy,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),472,n/a,57.3,60.8,68.5,46.8,38.4
2023,3846260,physics-astronomy,294963,Taiwan,National Taipei University of Technology,523,n/a,52,59.3,68.6,50.1,29.7
2023,3870667,politics,294811,Taiwan,National Chengchi University,114,n/a,73.9,63.9,62.6,59.8,
2023,3870667,politics,294804,Taiwan,National Taiwan University (NTU),115,n/a,69.4,74.2,56.1,53.7,
2023,3846257,psychology,294804,Taiwan,National Taiwan University (NTU),110,n/a,69.5,72.9,76.1,75,19.2
2023,3846257,psychology,294814,Taiwan,National Cheng Kung University (NCKU),312,n/a,56,62.8,60,66,21.2
2023,3846256,social-policy-administration,294804,Taiwan,National Taiwan University (NTU),46,77.8,80.5,77,60.9,n/a,
2023,3846255,sociology,294804,Taiwan,National Taiwan University (NTU),56,75.3,77.6,74.6,76.9,64.8,
2023,3846255,sociology,294814,Taiwan,National Cheng Kung University (NCKU),216,n/a,61.8,67.6,57.8,58.4,
2023,3846255,sociology,294811,Taiwan,National Chengchi University,217,n/a,61.8,65.3,59.7,52.5,
2023,3846255,sociology,294806,Taiwan,National Taiwan Normal University,218,n/a,61.8,64,58.7,49.7,
2023,3846255,sociology,294692,Taiwan,National Chung Cheng University,265,n/a,62.1,64.4,44,38.5,
2023,3846255,sociology,294378,Taiwan,National Taipei University,266,n/a,63.7,54.4,53.9,42.8,
2023,3846255,sociology,294800,Taiwan,National Tsing Hua University,267,n/a,61.7,70.4,45,38.5,
2023,3846255,sociology,3740459,Taiwan,National Yang Ming Chiao Tung University,268,n/a,60.7,67.5,43.8,38.5,
2023,3846254,sports-related-subjects,294806,Taiwan,National Taiwan Normal University,65,n/a,69.6,77.1,84.8,58.5,
2023,3846254,sports-related-subjects,294804,Taiwan,National Taiwan University (NTU),66,n/a,70.6,72.9,88.1,75.4,
2023,3846253,statistics-operational-research,294800,Taiwan,National Tsing Hua University,66,n/a,67.1,71.6,98.5,65.2,
2023,3846253,statistics-operational-research,294814,Taiwan,National Cheng Kung University (NCKU),119,n/a,61.7,67.9,98.4,59.8,
2023,3846253,statistics-operational-research,3740459,Taiwan,National Yang Ming Chiao Tung University,211,n/a,59.4,68.5,67.9,64,
