year,subject_nid,subject,university_nid,country,university,rank,overall_score,Academic Reputation_score,Employer Reputation_score,Citations per Paper_score,H-index Citations_score,International Research Network_score
2023,3846226,architecture-built-environment,294814,Taiwan,National Cheng Kung University (NCKU),116,n/a,57.6,69.4,92.2,75.4,
2023,3846226,architecture-built-environment,294963,Taiwan,National Taipei University of Technology,117,n/a,59.3,70.5,80.8,68.4,
2023,3846226,architecture-built-environment,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),169,n/a,55.2,59.3,80.8,60.9,
2023,3846227,art-design,294814,Taiwan,National Cheng Kung University (NCKU),73,n/a,59.2,65.5,n/a,n/a,
2023,3846227,art-design,294804,Taiwan,National Taiwan University (NTU),119,n/a,54.9,73.9,n/a,n/a,
2023,3846227,art-design,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),176,n/a,51.7,58.2,n/a,n/a,
2023,3846227,art-design,294050,Taiwan,Shih Chien University,183,n/a,54.9,38.6,n/a,n/a,
2023,3846227,art-design,294806,Taiwan,National Taiwan Normal University,215,n/a,49.8,54.7,n/a,n/a,
2023,3846228,biological-sciences,294804,Taiwan,National Taiwan University (NTU),103,72,72.6,76.4,81.2,74.6,42
2023,3846228,biological-sciences,294800,Taiwan,National Tsing Hua University,216,n/a,64.8,71.8,77.5,65.7,23.3
2023,3846228,biological-sciences,294814,Taiwan,National Cheng Kung University (NCKU),268,n/a,62.3,68,76.6,65.9,29.6
2023,3846228,biological-sciences,3740459,Taiwan,National Yang Ming Chiao Tung University,269,n/a,58,67.5,77.8,69.6,32.4
2023,3846228,biological-sciences,293781,Taiwan,China Medical University ,303,n/a,50.3,57.5,79.1,71.4,35.3
2023,3846228,biological-sciences,294808,Taiwan,National Chung Hsing University,371,n/a,58.6,61.8,70.9,61.1,25
2023,3846228,biological-sciences,295098,Taiwan,Taipei Medical University (TMU),379,n/a,50.8,68.1,75.3,65.6,32.3
2023,3846228,biological-sciences,295787,Taiwan,Kaohsiung Medical University,463,n/a,46.8,56,75.6,63.1,25.3
2023,3846228,biological-sciences,294682,Taiwan,Chang Gung University,507,n/a,41.7,51.7,75.5,67.9,23.3
2023,3846228,biological-sciences,294807,Taiwan,National Sun Yat-sen University,566,n/a,51.1,60.7,61.4,59,19.8
2023,3846228,biological-sciences,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),620,n/a,55.8,57,52.1,52.7,15.6
2023,3846229,business-management-studies,294804,Taiwan,National Taiwan University (NTU),107,70.5,66.8,72.6,72.3,81,
2023,3846229,business-management-studies,294800,Taiwan,National Tsing Hua University,176,n/a,57.9,65,78.3,78.6,
2023,3846229,business-management-studies,294814,Taiwan,National Cheng Kung University (NCKU),221,n/a,58.4,64.6,69,78.6,
2023,3846229,business-management-studies,294811,Taiwan,National Chengchi University,222,n/a,60.2,59.6,68.1,79.6,
2023,3846229,business-management-studies,294963,Taiwan,National Taipei University of Technology,269,n/a,57.4,65.9,66.9,66.9,
2023,3846229,business-management-studies,3740459,Taiwan,National Yang Ming Chiao Tung University,271,n/a,54.1,62.4,69.3,77.1,
2023,3846229,business-management-studies,294807,Taiwan,National Sun Yat-sen University,320,n/a,55.5,56.9,75,80.1,
2023,3846229,business-management-studies,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),321,n/a,53.6,57.5,76.9,78.6,
2023,3846229,business-management-studies,294816,Taiwan,National Central University,469,n/a,48.1,55.1,69.6,74.8,
2023,3846229,business-management-studies,294806,Taiwan,National Taiwan Normal University,470,n/a,48.9,54,66.8,72.2,
2023,3846230,chemistry,294804,Taiwan,National Taiwan University (NTU),80,75.1,77.6,72.9,85.1,75.1,54.4
2023,3846230,chemistry,294800,Taiwan,National Tsing Hua University,166,n/a,69.4,70.3,82.6,70,51.7
2023,3846230,chemistry,294814,Taiwan,National Cheng Kung University (NCKU),260,n/a,61.1,66.6,78.8,60.9,40.8
2023,3846230,chemistry,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),262,n/a,62,60.9,79.3,58.2,57.3
2023,3846230,chemistry,3740459,Taiwan,National Yang Ming Chiao Tung University,263,n/a,59.7,65.3,77.5,65.7,48.6
