year,subject,nid
2022,arts-humanities,3794804
2022,engineering-technology,3794805
2022,life-sciences-medicine,3794806
2022,natural-sciences,3794808
2022,social-sciences-management,3794809
2022,accounting-finance,3794815
2022,agriculture-forestry,3794816
2022,anatomy-physiology,3794817
2022,anthropology,3794818
2022,archaeology,3794819
2022,architecture-built-environment,3794820
2022,art-design,3794821
2022,biological-sciences,3794822
2022,business-management-studies,3794823
2022,chemistry,3794824
2022,classics-ancient-history,3794825
2022,communication-media-studies,3794826
2022,computer-science-information-systems,3794827
2022,dentistry,3794828
2022,development-studies,3794829
2022,earth-marine-sciences,3794830
2022,economics-econometrics,3794831
2022,education-training,3794832
2022,chemical-engineering,3794833
2022,civil-structural-engineering,3794834
2022,electrical-electronic-engineering,3794835
2022,mechanical-aeronautical-manufacturing-engineering,3794836
2022,mineral-mining-engineering,3794837
2022,engineering-petroleum,3794842
2022,english-language-literature,3794838
2022,environmental-sciences,3794840
2022,geography,3794843
2022,geology,3794841
2022,geophysics,3794839
2022,history,3794846
2022,hospitality-leisure-management,3794852
2022,law-legal-studies,3794854
2022,library-information-management,3794857
2022,linguistics,3794859
2022,materials-sciences,3794863
2022,mathematics,3794861
2022,medicine,3794862
2022,modern-languages,3794864
2022,nursing,3794865
2022,performing-arts,3794860
2022,pharmacy-pharmacology,3794858
2022,philosophy,3794856
2022,physics-astronomy,3794855
2022,politics,3794853
2022,psychology,3794851
2022,social-policy-administration,3794850
2022,sociology,3794849
2022,sports-related-subjects,3794848
2022,statistics-operational-research,3794847
2022,theology-divinity-religious-studies,3794845
2022,veterinary-science,3794844
