year,subject
2020,arts-humanities
2020,engineering-technology
2020,life-sciences-medicine
2020,natural-sciences
2020,social-sciences-management
2020,accounting-finance
2020,agriculture-forestry
2020,anatomy-physiology
2020,anthropology
2020,archaeology
2020,architecture-built-environment
2020,art-design
2020,biological-sciences
2020,business-management-studies
2020,chemistry
2020,classics-ancient-history
2020,communication-media-studies
2020,computer-science-information-systems
2020,dentistry
2020,development-studies
2020,earth-marine-sciences
2020,economics-econometrics
2020,education-training
2020,engineering-chemical
2020,engineering-civil-structural
2020,engineering-electrical-electronic
2020,engineering-mechanical
2020,engineering-mineral-mining
2020,engineering-petroleum
2020,english-language-literature
2020,environmental-sciences
2020,geography
2020,geology
2020,geophysics
2020,history
2020,hospitality-leisure-management
2020,law-legal-studies
2020,library-information-management
2020,linguistics
2020,materials-sciences
2020,mathematics
2020,medicine
2020,modern-languages
2020,nursing
2020,performing-arts
2020,pharmacy-pharmacology
2020,philosophy
2020,physics-astronomy
2020,politics
2020,psychology
2020,social-policy-administration
2020,sociology
2020,sports-related-subjects
2020,statistics-operational-research
2020,theology-divinity-religious-studies
2020,veterinary-science
