year,university_nid,country,university,rank,overall_score,International Students Ratio_score,International Faculty Ratio_score,Faculty Student Ratio_score,Citations per Faculty_score,Academic Reputation_score,Employer Reputation_score
2022,294804,Taiwan,National Taiwan University (NTU),68,68.2,39.2,7,40.8,58.7,92.3,87.4
2022,294800,Taiwan,National Tsing Hua University,181,46.1,20.4,7.2,37.8,53,51.2,59.3
2022,294814,Taiwan,National Cheng Kung University (NCKU),253,38.4,24.2,7.2,39.4,25.2,43.9,61.9
2022,3740459,Taiwan,National Yang Ming Chiao Tung University,269,36.9,12.6,7.1,46.8,34.1,32.6,64.9
2022,297271,Taiwan,National Taiwan University of Science and Technology (Taiwan Tech),315,33.6,40.3,13.8,56.1,31.7,25.8,28.9
2022,294806,Taiwan,National Taiwan Normal University,336,32.2,28.3,4.1,73.2,7.7,32.1,14.2
2022,295098,Taiwan,Taipei Medical University (TMU),409,27.8,16.7,6.4,90.3,16.7,9.7,12
2022,294807,Taiwan,National Sun Yat-sen University,412,27.5,14.1,9.4,34.7,35.1,25.5,20
2022,294963,Taiwan,National Taipei University of Technology,469,25.2,25,10.4,32.9,32.7,13.8,47.1
2022,294682,Taiwan,Chang Gung University,480,24.7,6.2,1.5,65.6,44.1,4.7,4.3
2022,294816,Taiwan,National Central University,525,n/a,14.9,5,30.5,27.7,20.5,19.3
2022,294811,Taiwan,National Chengchi University,595,n/a,46.6,5.9,31.4,3.1,19.4,30.2
2022,294808,Taiwan,National Chung Hsing University,671,n/a,9.5,2.8,25.6,16.9,16.6,16.2
2022,294692,Taiwan,National Chung Cheng University,865,n/a,9.8,1.6,21,7,12.5,13.7
2022,919381,Taiwan,Chang Jung Christian University,1028,n/a,5.3,2.3,39.1,1.9,3.9,2.7
2022,294966,Taiwan,Chung Yuan Christian University,1030,n/a,10.4,1.9,5.1,14,4.6,4.5
2022,294650,Taiwan,Feng Chia University,1037,n/a,9.8,1.5,5,9.6,6.9,7.5
2022,294370,Taiwan,Fu Jen Catholic University,1039,n/a,17.9,2.7,7.4,6.4,6.7,8
2022,294961,Taiwan,National Dong Hwa University,1067,n/a,11,1.4,9.1,8.2,5.4,2.6
2022,294960,Taiwan,National Taiwan Ocean University,1068,n/a,8.3,1.7,15,11.9,5.4,2.6
2022,294697,False,Yuan Ze University,1202,n/a,8.1,2,6.5,17,4.4,5.1
2022,294378,Taiwan,National Taipei University,1227,n/a,4.4,1.2,9.1,4,7.1,3.9
2022,294965,Taiwan,Soochow University (Taiwan),1234,n/a,4.7,1.7,5.6,2,4.7,5.6
2022,294958,Taiwan,Tamkang University,1239,n/a,11,2.5,3.4,5.5,5.2,5.2
2022,294959,Taiwan,Tunghai University,1247,n/a,16,4.3,5.9,3.9,5.3,6
